0,1,2,3,4,5
ruby-on-rails,reactjs,ruby,sql,elasticsearch,
linux,sysadmin,ansible,python,redhat,
devops,amazon-web-services,kubernetes,docker,jenkins,sysadmin
.net,reactjs,azure,c#,amazon-web-services,
java,scala,python,etl,,
python,numpy,pandas,,,
java,cloud,spring,,,
heroku,clojure,java,java-ee,sql,
sql,sql-server,tsql,,,
agile,cloud,scrum,,,
agile,api,web-services,,,
agile,clojure,project-management,,,
automation,qa,testing,,,
testing,qa,automation,java,selenium,
amazon-web-services,python,ruby,salt-stack,docker,
automation,qa,testing,ruby-on-rails,python,
python,amazon-web-services,apache-spark,postgresql,,
swift,ios,mobile,,,
java,html5,css3,reactjs,javascript,
microservices,kubernetes,spring-boot,java,javascript,
linux,python,kubernetes,terraform,ansible,sysadmin
.net,agile,asp.net,angular,,
unix,windows,linux,,,
reactjs,.net,agile,,,
sysadmin,windows,,,,
android,,,,,
automation,c++,testing,,,
kubernetes,docker,terraform,python,linux,
typescript,node.js,sql-server,,,
http,project-management,,,,
,,,,,
c#,sql-server,,,,
windows,php,mysql,,,
java,java-ee,spring,,,
lead,,,,,
c,embedded,objective-c,threadx,sysadmin,
android,ios,mobile,,,
testing,c,java,ios,android,
java,spring,java-ee,,,
project-management,,,,,
java,spring-boot,amazon-web-services,backend,microservices,
java,kotlin,javascript,python,scala,
security,,,,,
user-interface,user-experience,design,,,
python,amazon-web-services,security,penetration-testing,docker,
python,backend,amazon-web-services,postgresql,terraform,
security,,,,,
apache-spark-sql,,,,,
python,reactjs,javascript,,,
saas,security,,,,
saas,security,,,,
amazon-web-services,docker,git,spark,,
oracle,database,etl,data,data-warehouse,
node.js,typescript,machine-learning,recommendation-engine,kubernetes,
amazon-web-services,clojure,project-management,,,
amazon-web-services,agile,testing,,,
,,,,,
ios,objective-c,iphone,,,
ios,objective-c,iphone,,,
amazon-web-services,agile,web-services,,,
android,,,,,
ios,objective-c,iphone,,,
design,,,,,
android,mobile,,,,
android,mobile,clojure,,,
android,mobile,,,,
reactjs,typescript,react-native,selenium,progressive-web-apps,
java,javascript,angularjs,reactjs,node.js,
reactjs,typescript,selenium,graphql,progressive-web-apps,
javascript,python,vue,react,angular,
.net,.net-core,javascript,sql-server,c#,
python,vue,react,angular,javascript,
mysql,php,laravel,html,javascript,
ruby-on-rails,java,php,html,css,
selenium,,,,,
cloud,,,,,
qa,testing,sql,jira,automated-tests,
java,c#,nunit,atlassian-crowd,,
ios,mobile,android,kotlin,swift,sysadmin
sql,tsql,ssis,ssas,database,
reactjs,amazon-web-services,javascript,api,linux,
agile,etl,python,,,
automation,cucumber,testing,jenkins,circleci,
reactnative,react,javascript,,,
ruby-on-rails,ruby,api,microservices,amazon-web-services,
java,,,,,
reactjs,python,html,,,
reactjs,,,,,
linux,cloud,,,,
node.js,typescript,kubernetes,rest,nestjs,
amazon-web-services,hadoop,java,,,
calypso,unix,swift,websphere,java,
python,pytorch,tensorflow,caffe,opencv,
java,scala,python,,,
selenium,jira,jenkins,java,automated-tests,
react-native,redux,redux-observable,redux-saga,typescript,
go,ruby,python,ruby-on-rails,rest,
angular,.net,javascript,amazon-web-services,paas,
ios,xcode,backbase,cocoapods,fastlane,
salesforce,apex,visualforce,,,
android,mobile,kotlin,,,
sql,,,,,
rest,reactjs,node.js,kotlin,sql,
rest,reactjs,node.js,kotlin,scala,
sql,bizagi,rest,xml,.net-framework-version,
c#,.net,c#-4.0,,,
java,angular,javascript,python,spring,
php,mysql,nginx,,,
javascript,php,jquery,html,css,
ios,objective-c,swift,,,
sql-server,togaf,,,,
java,python,,,,
amazon-web-services,docker,node.js,typescript,javascript,
ios,swift,objective-c,,,
agile,user-interface,design,middleware,togaf,
c,,,,,
testing,qa,agile,devops,,
python,json,amazon-web-services,google-cloud-platform,,
react,javascript,api-design,vue.js,,
java,groovy,python,sql,appium,
node.js,typescript,,,,
reactjs,javascript,user-interface,,,
jenkins,ruby,protractor,jasmine,jira,
ruby,mysql,node,aws,backend,
reactjs,javascript,html5,graphql,webpack,
c#,java,reactjs,agile,,
c#,.net,javascript,,,
reactjs,node.js,agile,css,jest,
java,python,,,,
node.js,sql,java,javascript,,
cloud,automation,amazon-web-services,devops,terraform,
java,c++,amazon-web-services,javascript,,
c++,robotics,computer-vision,machine-learning,ros,
java,jee,,,,
continuous-integration,continuous-deployment,amazon-web-services,kubernetes,,
gitlab,agile,scrum,amazon-web-services,azure,
c#,javascript,ruby,reactjs,agile,
docker,kubernetes,amazon-web-services,,,
reactjs,amazon-web-services,node.js,,,
c#,asp.net,javascript,sharepoint,,
agile,cloud,user-experience,html5-canvas,css,
scala,typescript,amazon-web-services,,,
cloud,amazon-web-services,kubernetes,openshift,,
vue.js,,,,,
web-services,reactjs,amazon-web-services,javascript,node.js,
python,django,graphql,react-native,amazon-web-services,
requirements,rollout,architecture,project-management,,
.net,c#,.net-core,azure,,
amazon-web-services,python,scala,sql,data-lake,
reactjs,python,mongodb,docker,kubernetes,
ruby-on-rails,ruby,javascript,jquery,vue.js,
user-experience,user-interface,testing,,,
ruby,ruby-on-rails,tdd,,,
python,google-cloud-platform,django,angular,typescript,
c#,javascript,html,css,vue.js,
ruby-on-rails,ruby,javascript,jquery,solr,
qa,testing,automation,automated-tests,salesforce-lightning,
reactjs,redux,react-native,react-redux,typescript,
iis,tcp,https,haproxy,virtual-machine,sysadmin
java,nosql,concurrency,distributed-computing,database-design,
python,nosql,mongodb,amazon-web-services,frontend,
reactjs,redux,react-native,react-redux,typescript,
selenium,testing,alm,.net,manual-testing,
web-services,sysadmin,,,,
web-services,hexagonal-tiles,sysadmin,,,
amazon-web-services,cloud,python,node.js,java,sysadmin
java,spring,java-ee,amazon-web-services,sql,
python,machine-learning,git,sql,nosql,
c++,linux,security,ipv4,ipv6,sysadmin
windows,android,sysadmin,,,
javascript,python,angularjs,node.js,,
javascript,backend,node.js,,,
amazon-cloudformation,amazon-elastic-beanstalk,javascript,node.js,express,
javascript,vue.js,django,postgresql,,
amazon-web-services,angularjs,node.js,javascript,,
linux,c++,c,python,tcp,sysadmin
php,mysql,javascript,git,continuous-integration,
amazon-web-services,python,web-services,amazon-redshift,amazon-kinesis,
java,agile,spring,jvm,jira,
go,amazon-web-services,docker,terraform,ansible,
reactjs,redux-saga,websocket,async-await,amazon-web-services,
amazon-web-services,sql,node.js,javascript,azure,
android,rx-java,kotlin,mvvm,android-databinding,
android,kotlin,mvvm,rxjava,realm,
angular,node.js,typescript,html,css,
reactjs,user-experience,user-interface,react-redux,,
swift,ios,mvvm,realm,rx-swift,
reactjs,node.js,asynchronous,amazon-web-services,react-fullstack,
java,spring,amazon-web-services,sql,architecture,
reactjs,three.js,webgl,3d,javascript,
ionic-framework,java,ionic,ionic2,android,
c#,asp.net-core,typescript,reactjs,azure,
architecture,,,,,
java,c++,python,,,
azure,c#,.net,,,
node.js,angular,redux,typescript,,
windows,sysadmin,,,,
linux,sysadmin,bash,python,go,
amazon-web-services,jenkins,docker,devops,linux,
java,python,javascript,abap,linux,
hadoop,chef,terraform,hashicorp-vault,,
java,spring,wicket,spring-boot,microservices,
ruby-on-rails,python,java,sql,shell,
agile,react,,,,
php,symfony,mysql,kubernetes,docker,
python,java,amazon-web-services,kubernetes,api,
php,mysql,apache,git,jenkins,
reactjs,node.js,apollo,typescript,graphql,
reactjs,typescript,node.js,graphql,apollo,
git,github,openstack,unix,cloud,
automation,linux,chef,dhcp,dns,
java,amazon-web-services,java-11,python,spring-boot,
javascript,architecture,html,angular,reactjs,
security,swift,ios,,,
etl,tsql,.net,ssis,reporting-services,sysadmin
c++,blockchain,,,,
ios,mobile,objective-c,,,
testing,qa,automated-tests,javascript,,
c++,multithreading,linux,,,
php,symfony2,mysql,,,
,,,,,
design,,,,,
javascript,automation,ruby,,,
java,c++,hadoop,,,
,,,,,
java,,,,,
,,,,,
project-management,,,,,
linux,devops,,,,
linux,sysadmin,devops,,,
linux,sysadmin,devops,,,
d3.js,,,,,
,,,,,
linux,devops,,,,
project-management,,,,,
cocoa,cocoa-touch,objective-c,,,
,,,,,
java,python,scala,,,
java,testing,automated-tests,,,
c++,python,machine-learning,,,
design,user-interface,user-experience,,,
javascript,reactjs,node.js,,,
javascript,reactjs,node.js,,,
agile,project-management,,,,
ios,iphone,,,,
git,java,ruby,perl,jenkins,
javascript,reactjs,css,,,
ios,qa,iphone,,,
python,web-services,amazon-web-services,,,
java,python,,,,
java,groovy,c++,python,sql,
machine-learning,java,c++,,,
cloud,project-management,javascript,,,
user-interface,javascript,reactjs,,,
c,embedded,c++,rest,spi,
yocto,bitbake,linux-kernel,embedded-linux,networking,
c++,java,embedded-linux,modeling,security,
project-management,uml,java,c++,embedded-linux,
java,eclipse,git,embedded-linux,jenkins,
etl,python,java,mpp,c++,
java,javascript,kotlin,,,
java,spring,java-ee,,,
scada,siemens,opc-ua,twincat,,
saas,,,,,
java,design-patterns,sql,web,jenkins,
node.js,html,css,kanban,scrum,
java,python,automated-tests,testing,manual-testing,
java,javascript,eclipse,sql,git,
java,spring,amazon-web-services,microservices,nosql,
ruby,elixir,elasticsearch,react-redux,sql,
node.js,angularjs,docker,html,scrum,
java,kotlin,postgresql,amazon-web-services,docker,
machine-learning,r,python,c++,java,
cloud,web-services,saas,lead,,
reactjs,node.js,react-native,swift,kotlin,
cloud,azure,amazon-web-services,architecture,,
security,cloud,risk-analysis,,,
reactjs,sass,javascript,webpack,jest,
reactjs,angularjs,javascript,,,
javascript,typescript,reactjs,vue.js,amazon-web-services,
agile,javascript,web-services,java,,
selenium,javascript,,,,
.net,c#,sql,,,
automation,amazon-web-services,linux,jenkins,python,
java,spring,kotlin,hibernate,tdd,
node.js,reactjs,microservices,bigdata,nosql,
ruby,golang,kafka,docker,,
java,c++,,,,
php,symfony2,mysql,,,
continuous-integration,,,,,
mobile,,,,,
python,,,,,
android,kotlin,,,,
.net,c#,asp.net,sql,,
scala,,,,,
javascript,react-native,css,html,,
reactjs,node.js,amazon-web-services,javascript,,
java,scala,,,,
reactjs,javascript,node.js,react-native,amazon-web-services,
javascript,java,hibernate,jpa,spring,
java,python,reactjs,machine-learning,javascript,
javascript,react-native,,,,
node.js,javascript,amazon-web-services,react-native,typescript,
appium,selenium,postman,java,,
php,,,,,
angularjs,javascript,drupal,reactjs,sql,
node.js,,,,,
java,android,java-ee,iot,,
java,c++,hadoop,,,
,,,,,
android,java,mobile,,,
python,bigdata,nosql,nlp,,
javascript,spring,clean-architecture,jenkins,angular,
android,ios,swift,kotlin,java,
python,flask,backend,database,python-3.x,
javascript,css,frontend,user-experience,user-interface,
c,assembly,zigbee,isdn,bluetooth,
c,qnx,embedded-linux,shell,,
.net,c#,elasticsearch,typescript,,
java,reactjs,etl,hadoop,dynamics-crm-online,
html,css,reactjs,jquery,javascript,
c,c++,java,python,,
ios,swift,objective-c,cocoa,,
typescript,reactjs,redux,,,
go,google-cloud-platform,kubernetes,microservices,php,
agile,product,data-modeling,product-management,,
android,kotlin,java,leakcanary,dagger,
java,sql,java-ee,,,
c#,.net,java,,,
java,,,,,
java,,,,,
java,oracle,javascript,,,
php,mysql,javascript,,,
python,ember.js,cloud,,,
php,mysql,javascript,,,
java,javascript,css,,,
java,java-ee,javascript,,,
java,java-ee,javascript,,,
java,java-ee,,,,
java,spring,javascript,,,
java,java-ee,,,,
java,java-ee,sql,,,
java,java-ee,,,,
java,java-ee,spring,,,
java,java-ee,,,,
java,java-ee,,,,
java,java-ee,javascript,,,
swift,java,ios,,,
java,reactjs,sql,,,
java,java-ee,,,,
